Image_ID,Neighborhood_ID
10930.jpg,2
11351.jpg,1
14254.jpg,0
15013.jpg,1
12373.jpg,1
15179.jpg,1
12813.jpg,1
10782.jpg,2
12055.jpg,0
13315.jpg,1
12655.jpg,2
15683.jpg,1
16059.jpg,0
15823.jpg,1
14335.jpg,0
12805.jpg,1
12782.jpg,2
16003.jpg,0
11512.jpg,1
13063.jpg,1
14528.jpg,1
12058.jpg,0
13250.jpg,2
13466.jpg,0
14268.jpg,0
16093.jpg,0
13064.jpg,1
14088.jpg,0
11739.jpg,2
12290.jpg,0
15811.jpg,0
11280.jpg,1
12627.jpg,2
11719.jpg,1
14531.jpg,1
13347.jpg,0
15750.jpg,1
12631.jpg,2
13919.jpg,0
12030.jpg,0
13140.jpg,1
14708.jpg,1
11640.jpg,1
14718.jpg,1
11977.jpg,1
12176.jpg,0
11289.jpg,1
14044.jpg,1
12526.jpg,0
13448.jpg,2
12197.jpg,1
15353.jpg,1
16040.jpg,0
14017.jpg,1
16023.jpg,1
15300.jpg,2
13414.jpg,1
11995.jpg,0
14809.jpg,1
15631.jpg,2
13238.jpg,1
12255.jpg,1
16061.jpg,1
11846.jpg,1
13491.jpg,1
15219.jpg,2
11387.jpg,2
13969.jpg,0
14717.jpg,1
12357.jpg,2
14200.jpg,0
14864.jpg,1
14899.jpg,1
15416.jpg,0
16047.jpg,1
14082.jpg,0
11174.jpg,1
15576.jpg,1
10916.jpg,2
15090.jpg,1
11907.jpg,2
11079.jpg,1
12454.jpg,0
11250.jpg,2
12456.jpg,2
15336.jpg,1
14850.jpg,2
11019.jpg,1
12767.jpg,2
13929.jpg,0
12772.jpg,1
14077.jpg,0
16223.jpg,1
12475.jpg,0
14341.jpg,0
10805.jpg,2
14171.jpg,1
11775.jpg,1
15505.jpg,1
12219.jpg,1
13788.jpg,2
15466.jpg,0
12951.jpg,1
12431.jpg,0
12348.jpg,1
14950.jpg,1
15446.jpg,0
12567.jpg,1
14823.jpg,1
12721.jpg,1
10902.jpg,0
13225.jpg,1
15878.jpg,1
12910.jpg,0
14386.jpg,2
15186.jpg,1
13287.jpg,0
15456.jpg,0
13678.jpg,0
15673.jpg,1
11844.jpg,1
11538.jpg,1
14887.jpg,2
15272.jpg,1
12457.jpg,2
14842.jpg,0
11552.jpg,2
11081.jpg,0
12934.jpg,1
13335.jpg,0
16021.jpg,1
11006.jpg,2
13307.jpg,2
13304.jpg,2
14277.jpg,0
12123.jpg,1
12051.jpg,0
11469.jpg,2
13257.jpg,2
15215.jpg,1
14814.jpg,1
